_id,Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
150,20200308,S92000003,Scotland,3,30,0.549118664543408,0.494206798089067,0,0,0,119,1555,28.4626507788333,192,17,8.85416666666667,4.09518539014942,192,0,11,"",,:,17,0
151,20200309,S08000015,NHS Ayrshire & Arran,1,3,0.812215724496426,0.541477149664284,0,0,0,22,116,31.4056746805285,24,1,4.16666666666667,2.65486725663717,24,0,,:,,:,1,0
152,20200309,S08000016,NHS Borders,1,1,0.865725911176522,0.865725911176522,0,0,0,12,40,34.6290364470609,15,1,6.66666666666667,3.03030303030303,15,0,,:,,:,1,0
153,20200309,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,16,101,67.8489856240763,22,0,0,0,22,0,,:,,:,0,0
154,20200309,S08000019,NHS Forth Valley,0,3,0.978345943125489,0.652230628750326,0,0,0,14,145,47.2867205843986,24,3,12.5,8.33333333333333,24,0,,:,,:,3,0
155,20200309,S08000020,NHS Grampian,0,7,1.19515110124637,1.02441522963975,0,0,0,10,83,14.1710773433498,18,1,5.55555555555556,14.7368421052632,18,0,,:,,:,1,0
156,20200309,S08000022,NHS Highland,0,0,0,0,0,0,0,8,65,20.2051600870376,8,0,0,0,8,0,,:,,:,0,0
157,20200309,S08000024,NHS Lothian,3,10,1.10183124352674,1.10183124352674,0,0,0,105,395,43.5223341193063,136,8,5.88235294117647,5.20547945205479,136,0,,:,,:,8,0
158,20200309,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,4,17.961383026493,1,0,0,0,1,0,,:,,:,0,0
159,20200309,S08000026,NHS Shetland,4,6,26.1780104712042,26.1780104712042,0,0,0,4,9,39.2670157068063,16,6,37.5,33.3333333333333,16,0,,:,,:,6,0
160,20200309,S08000028,NHS Western Isles,0,0,0,0,0,0,0,0,4,14.9700598802395,0,0,0,0,0,0,,:,,:,0,0
161,20200309,S08000029,NHS Fife,1,3,0.803105340650515,0.803105340650515,0,0,0,4,70,18.7391246151787,7,1,14.285714285714299,7.35294117647059,7,0,,:,,:,1,0
162,20200309,S08000030,NHS Tayside,3,4,0.958152681629818,0.718614511222363,0,0,0,10,85,20.3607444846336,22,6,27.2727272727273,6.79012345679012,22,0,,:,,:,6,0
163,20200309,S08000031,NHS Greater Glasgow & Clyde,3,6,0.507133680438164,0.507133680438164,0,0,0,75,540,45.6420312394347,119,9,7.563025210084031,3.47222222222222,119,0,,:,,:,9,0
164,20200309,S08000032,NHS Lanarkshire,0,3,0.453240670796193,0.453240670796193,0,0,0,22,201,30.3671249433449,41,3,7.317073170731709,5.52995391705069,41,0,,:,,:,3,0
165,20200309,S92000003,Scotland,16,46,0.841981952299892,0.768766130360771,0,0,0,303,1858,34.0087492907217,453,39,8.60927152317881,5.46092184368737,453,0,19,"",,:,39,0
